Census,School Name,Category,Year Level,Students
15 February 2017,Mother Teresa School,Non Gov,Year 3,96
15 February 2017,Mother Teresa School,Non Gov,Year 2,103
15 February 2017,Mount Rogers Primary School,Gov,Year 6,53
15 February 2017,Mount Rogers Primary School,Gov,Year 5,50
15 February 2017,Mount Rogers Primary School,Gov,Year 4,63
15 February 2017,Mount Rogers Primary School,Gov,Year 1,78
15 February 2017,Mount Rogers Primary School,Gov,Kindergarten,74
15 February 2017,Mount Rogers Primary School,Gov,Preschool,101
15 February 2017,Mount Rogers Primary School,Gov,Year 2,59
15 February 2017,Mount Rogers Primary School,Gov,Year 3,51
15 February 2017,Mount Stromlo High School,Gov,Year 8,159
15 February 2017,Mount Stromlo High School,Gov,Year 7,166
15 February 2017,Mount Stromlo High School,Gov,Year 9,165
15 February 2017,Mount Stromlo High School,Gov,Year 10,152
15 February 2017,Namadgi School,Gov,Year 7,54
15 February 2017,Namadgi School,Gov,Year 4,55
15 February 2017,Namadgi School,Gov,Year 5,61
15 February 2017,Namadgi School,Gov,Year 6,67
15 February 2017,Namadgi School,Gov,Year 8,56
15 February 2017,Namadgi School,Gov,Year 9,49
15 February 2017,Namadgi School,Gov,Year 1,55
15 February 2017,Namadgi School,Gov,Preschool,83
15 February 2017,Namadgi School,Gov,Kindergarten,45
15 February 2017,Namadgi School,Gov,Year 10,53
15 February 2017,Namadgi School,Gov,Year 3,59
15 February 2017,Namadgi School,Gov,Year 2,48
15 February 2017,Narrabundah College,Gov,Year 12,470
15 February 2017,Narrabundah College,Gov,Year 11,512
15 February 2017,Narrabundah Early Childhood School,Gov,Preschool,76
15 February 2017,Narrabundah Early Childhood School,Gov,Year 1,21
15 February 2017,Narrabundah Early Childhood School,Gov,Kindergarten,30
15 February 2017,Narrabundah Early Childhood School,Gov,Year 2,17
15 February 2017,Neville Bonner Primary School,Gov,Year 4,63
15 February 2017,Neville Bonner Primary School,Gov,Year 5,38
15 February 2017,Neville Bonner Primary School,Gov,Year 6,42
15 February 2017,Neville Bonner Primary School,Gov,Preschool,203
15 February 2017,Neville Bonner Primary School,Gov,Kindergarten,123
15 February 2017,Neville Bonner Primary School,Gov,Year 1,104
15 February 2017,Neville Bonner Primary School,Gov,Year 3,81
15 February 2017,Neville Bonner Primary School,Gov,Year 2,102
15 February 2017,Ngunnawal Primary School,Gov,Year 5,80
15 February 2017,Ngunnawal Primary School,Gov,Year 4,72
15 February 2017,Ngunnawal Primary School,Gov,Year 6,81
15 February 2017,Ngunnawal Primary School,Gov,Kindergarten,93
15 February 2017,Ngunnawal Primary School,Gov,Year 1,108
15 February 2017,Ngunnawal Primary School,Gov,Preschool,110
15 February 2017,Ngunnawal Primary School,Gov,Year 2,84
15 February 2017,Ngunnawal Primary School,Gov,Year 3,75
15 February 2017,North Ainslie Primary School,Gov,Year 5,82
15 February 2017,North Ainslie Primary School,Gov,Year 4,64
15 February 2017,North Ainslie Primary School,Gov,Year 6,61
15 February 2017,North Ainslie Primary School,Gov,Year 1,99
15 February 2017,North Ainslie Primary School,Gov,Kindergarten,88
15 February 2017,North Ainslie Primary School,Gov,Preschool,88
15 February 2017,North Ainslie Primary School,Gov,Year 2,78
15 February 2017,North Ainslie Primary School,Gov,Year 3,85
15 February 2017,O'Connor Cooperative School,Gov,Preschool,20
15 February 2017,O'Connor Cooperative School,Gov,Year 1,19
15 February 2017,O'Connor Cooperative School,Gov,Kindergarten,22
15 February 2017,O'Connor Cooperative School,Gov,Year 2,10
15 February 2017,Orana Steiner School,Non Gov,Year 6,57
15 February 2017,Orana Steiner School,Non Gov,Year 4,48
15 February 2017,Orana Steiner School,Non Gov,Year 5,53
15 February 2017,Orana Steiner School,Non Gov,Year 8,53
15 February 2017,Orana Steiner School,Non Gov,Year 7,48
15 February 2017,Orana Steiner School,Non Gov,Year 9,47
15 February 2017,Orana Steiner School,Non Gov,Kindergarten,45
15 February 2017,Orana Steiner School,Non Gov,Year 1,36
15 February 2017,Orana Steiner School,Non Gov,Preschool,44
15 February 2017,Orana Steiner School,Non Gov,Year 3,52
15 February 2017,Orana Steiner School,Non Gov,Year 10,45
15 February 2017,Orana Steiner School,Non Gov,Year 11,7
15 February 2017,Orana Steiner School,Non Gov,Year 12,19
15 February 2017,Orana Steiner School,Non Gov,Year 2,50
15 February 2017,Palmerston District Primary School,Gov,Year 6,43
15 February 2017,Palmerston District Primary School,Gov,Year 5,59
15 February 2017,Palmerston District Primary School,Gov,Year 4,62
15 February 2017,Palmerston District Primary School,Gov,Year 1,95
15 February 2017,Palmerston District Primary School,Gov,Preschool,110
15 February 2017,Palmerston District Primary School,Gov,Kindergarten,101
15 February 2017,Palmerston District Primary School,Gov,Year 2,79
15 February 2017,Palmerston District Primary School,Gov,Year 3,68
15 February 2017,Radford College,Non Gov,Year 6,99
15 February 2017,Radford College,Non Gov,Year 5,99
15 February 2017,Radford College,Non Gov,Year 8,178
15 February 2017,Radford College,Non Gov,Year 4,98
15 February 2017,Radford College,Non Gov,Year 7,177
15 February 2017,Radford College,Non Gov,Year 9,178
15 February 2017,Radford College,Non Gov,Year 1,44
15 February 2017,Radford College,Non Gov,Kindergarten,45
15 February 2017,Radford College,Non Gov,Preschool,46
15 February 2017,Radford College,Non Gov,Year 12,177
15 February 2017,Radford College,Non Gov,Year 11,180
15 February 2017,Radford College,Non Gov,Year 3,98
15 February 2017,Radford College,Non Gov,Year 2,45
15 February 2017,Radford College,Non Gov,Year 10,177
15 February 2017,Red Hill Primary School,Gov,Year 6,84
15 February 2017,Red Hill Primary School,Gov,Year 5,93
15 February 2017,Red Hill Primary School,Gov,Year 4,101
15 February 2017,Red Hill Primary School,Gov,Kindergarten,83
15 February 2017,Red Hill Primary School,Gov,Year 1,83
15 February 2017,Red Hill Primary School,Gov,Preschool,75
15 February 2017,Red Hill Primary School,Gov,Year 2,79
15 February 2017,Red Hill Primary School,Gov,Year 3,91
15 February 2017,Richardson Primary School,Gov,Year 5,21
15 February 2017,Richardson Primary School,Gov,Year 4,24
15 February 2017,Richardson Primary School,Gov,Year 6,22
15 February 2017,Richardson Primary School,Gov,Kindergarten,20
15 February 2017,Richardson Primary School,Gov,Year 1,23
15 February 2017,Richardson Primary School,Gov,Preschool,42
15 February 2017,Richardson Primary School,Gov,Year 3,15
15 February 2017,Richardson Primary School,Gov,Year 2,11
15 February 2017,Rosary Primary School,Non Gov,Year 4,48
15 February 2017,Rosary Primary School,Non Gov,Year 6,55
15 February 2017,Rosary Primary School,Non Gov,Year 5,54
15 February 2017,Rosary Primary School,Non Gov,Year 1,35
15 February 2017,Rosary Primary School,Non Gov,Kindergarten,26
15 February 2017,Rosary Primary School,Non Gov,Year 3,46
15 February 2017,Rosary Primary School,Non Gov,Year 2,49
15 February 2017,Sacred Heart Primary School,Non Gov,Year 5,35
15 February 2017,Sacred Heart Primary School,Non Gov,Year 6,32
15 February 2017,Sacred Heart Primary School,Non Gov,Year 4,27
15 February 2017,Sacred Heart Primary School,Non Gov,Kindergarten,30
15 February 2017,Sacred Heart Primary School,Non Gov,Year 1,58
15 February 2017,Sacred Heart Primary School,Non Gov,Year 3,61
15 February 2017,Sacred Heart Primary School,Non Gov,Year 2,51
15 February 2017,Southern Cross Early Childhood School,Gov,Kindergarten,50
15 February 2017,Southern Cross Early Childhood School,Gov,Year 1,36
15 February 2017,Southern Cross Early Childhood School,Gov,Preschool,88
15 February 2017,Southern Cross Early Childhood School,Gov,Year 2,30
15 February 2017,St Anthony's Parish Primary School,Non Gov,Year 6,62
15 February 2017,St Anthony's Parish Primary School,Non Gov,Year 5,70
15 February 2017,St Anthony's Parish Primary School,Non Gov,Year 4,63
15 February 2017,St Anthony's Parish Primary School,Non Gov,Preschool,62
15 February 2017,St Anthony's Parish Primary School,Non Gov,Kindergarten,39
15 February 2017,St Anthony's Parish Primary School,Non Gov,Year 1,61
15 February 2017,St Anthony's Parish Primary School,Non Gov,Year 3,81
15 February 2017,St Anthony's Parish Primary School,Non Gov,Year 2,59
15 February 2017,St Bede's Primary School,Non Gov,Year 4,12
15 February 2017,St Bede's Primary School,Non Gov,Year 6,13
15 February 2017,St Bede's Primary School,Non Gov,Year 5,15
15 February 2017,St Bede's Primary School,Non Gov,Year 1,25
15 February 2017,St Bede's Primary School,Non Gov,Kindergarten,20
15 February 2017,St Bede's Primary School,Non Gov,Year 2,27
15 February 2017,St Bede's Primary School,Non Gov,Year 3,21
15 February 2017,St Benedict's Primary School,Non Gov,Year 4,16
15 February 2017,St Benedict's Primary School,Non Gov,Year 6,22
15 February 2017,St Benedict's Primary School,Non Gov,Year 5,16
15 February 2017,St Benedict's Primary School,Non Gov,Kindergarten,21
15 February 2017,St Benedict's Primary School,Non Gov,Year 1,19
15 February 2017,St Benedict's Primary School,Non Gov,Year 3,30
15 February 2017,St Benedict's Primary School,Non Gov,Year 2,27
15 February 2017,St Clare of Assisi Primary School,Non Gov,Year 4,90
15 February 2017,St Clare of Assisi Primary School,Non Gov,Year 6,76
15 February 2017,St Clare of Assisi Primary School,Non Gov,Year 5,85
15 February 2017,St Clare of Assisi Primary School,Non Gov,Year 1,79
15 February 2017,St Clare of Assisi Primary School,Non Gov,Kindergarten,77
15 February 2017,St Clare of Assisi Primary School,Non Gov,Year 3,83
15 February 2017,St Clare of Assisi Primary School,Non Gov,Year 2,94
15 February 2017,St Clare's College,Non Gov,Year 8,189
15 February 2017,St Clare's College,Non Gov,Year 7,160
15 February 2017,St Clare's College,Non Gov,Year 9,172
15 February 2017,St Clare's College,Non Gov,Year 10,155
15 February 2017,St Clare's College,Non Gov,Year 12,136
15 February 2017,St Clare's College,Non Gov,Year 11,140
15 February 2017,St Edmund's College Canberra,Non Gov,Year 4,45
15 February 2017,St Edmund's College Canberra,Non Gov,Year 6,90
15 February 2017,St Edmund's College Canberra,Non Gov,Year 8,132
15 February 2017,St Edmund's College Canberra,Non Gov,Year 5,69
15 February 2017,St Edmund's College Canberra,Non Gov,Year 7,128
15 February 2017,St Edmund's College Canberra,Non Gov,Year 9,114
15 February 2017,St Edmund's College Canberra,Non Gov,Year 12,92
15 February 2017,St Edmund's College Canberra,Non Gov,Year 10,128
15 February 2017,St Edmund's College Canberra,Non Gov,Year 11,119
15 February 2017,St Francis of Assisi Primary School,Non Gov,Year 6,60
15 February 2017,St Francis of Assisi Primary School,Non Gov,Year 4,76
15 February 2017,St Francis of Assisi Primary School,Non Gov,Year 5,60
15 February 2017,St Francis of Assisi Primary School,Non Gov,Kindergarten,69
15 February 2017,St Francis of Assisi Primary School,Non Gov,Year 1,72
15 February 2017,St Francis of Assisi Primary School,Non Gov,Year 2,71
15 February 2017,St Francis of Assisi Primary School,Non Gov,Year 3,64
15 February 2017,St Francis Xavier College,Non Gov,Year 8,211
15 February 2017,St Francis Xavier College,Non Gov,Year 7,214
15 February 2017,St Francis Xavier College,Non Gov,Year 9,211
15 February 2017,St Francis Xavier College,Non Gov,Year 11,152
15 February 2017,St Francis Xavier College,Non Gov,Year 12,169
15 February 2017,St Francis Xavier College,Non Gov,Year 10,210
15 February 2017,St John Paul II College,Non Gov,Year 7,186
15 February 2017,St John Paul II College,Non Gov,Year 8,147
15 February 2017,St John Paul II College,Non Gov,Year 9,123
15 February 2017,St John Paul II College,Non Gov,Year 10,101
15 February 2017,St John Paul II College,Non Gov,Year 11,79
15 February 2017,St John the Apostle Primary School,Non Gov,Year 6,60
15 February 2017,St John the Apostle Primary School,Non Gov,Year 4,58
15 February 2017,St John the Apostle Primary School,Non Gov,Year 5,49
15 February 2017,St John the Apostle Primary School,Non Gov,Kindergarten,51
15 February 2017,St John the Apostle Primary School,Non Gov,Year 1,49
15 February 2017,St John the Apostle Primary School,Non Gov,Year 2,50
15 February 2017,St John the Apostle Primary School,Non Gov,Year 3,54
15 February 2017,St John Vianney's Primary School,Non Gov,Year 5,22
15 February 2017,St John Vianney's Primary School,Non Gov,Year 6,31
15 February 2017,St John Vianney's Primary School,Non Gov,Year 4,36
15 February 2017,St John Vianney's Primary School,Non Gov,Kindergarten,18
15 February 2017,St John Vianney's Primary School,Non Gov,Year 1,23
15 February 2017,St John Vianney's Primary School,Non Gov,Year 3,26
15 February 2017,St John Vianney's Primary School,Non Gov,Year 2,33
15 February 2017,St Joseph's Primary School,Non Gov,Year 4,29
15 February 2017,St Joseph's Primary School,Non Gov,Year 5,21
15 February 2017,St Joseph's Primary School,Non Gov,Year 6,19
15 February 2017,St Joseph's Primary School,Non Gov,Year 1,44
15 February 2017,St Joseph's Primary School,Non Gov,Preschool,56
15 February 2017,St Joseph's Primary School,Non Gov,Kindergarten,38
15 February 2017,St Joseph's Primary School,Non Gov,Year 2,46
15 February 2017,St Joseph's Primary School,Non Gov,Year 3,36
15 February 2017,St Jude's Primary School,Non Gov,Year 4,52
15 February 2017,St Jude's Primary School,Non Gov,Year 6,39
15 February 2017,St Jude's Primary School,Non Gov,Year 5,48
15 February 2017,St Jude's Primary School,Non Gov,Preschool,57
15 February 2017,St Jude's Primary School,Non Gov,Year 1,53
15 February 2017,St Jude's Primary School,Non Gov,Kindergarten,68
15 February 2017,St Jude's Primary School,Non Gov,Year 3,55
15 February 2017,St Jude's Primary School,Non Gov,Year 2,52
15 February 2017,St Mary MacKillop College,Non Gov,Year 7,344
15 February 2017,St Mary MacKillop College,Non Gov,Year 8,335
15 February 2017,St Mary MacKillop College,Non Gov,Year 9,331
15 February 2017,St Mary MacKillop College,Non Gov,Year 12,255
15 February 2017,St Mary MacKillop College,Non Gov,Year 11,233
15 February 2017,St Mary MacKillop College,Non Gov,Year 10,317
15 February 2017,St Matthew's Primary School,Non Gov,Year 4,53
15 February 2017,St Matthew's Primary School,Non Gov,Year 6,53
15 February 2017,St Matthew's Primary School,Non Gov,Year 5,43
15 February 2017,St Matthew's Primary School,Non Gov,Year 1,48
15 February 2017,St Matthew's Primary School,Non Gov,Kindergarten,38
15 February 2017,St Matthew's Primary School,Non Gov,Year 2,56
15 February 2017,St Matthew's Primary School,Non Gov,Year 3,44
15 February 2017,St Michael's Primary School,Non Gov,Year 4,30
15 February 2017,St Michael's Primary School,Non Gov,Year 6,15
15 February 2017,St Michael's Primary School,Non Gov,Year 5,41
15 February 2017,St Michael's Primary School,Non Gov,Year 1,23
15 February 2017,St Michael's Primary School,Non Gov,Kindergarten,28
15 February 2017,St Michael's Primary School,Non Gov,Year 2,30
15 February 2017,St Michael's Primary School,Non Gov,Year 3,19
15 February 2017,St Monica's Primary School,Non Gov,Year 4,61
15 February 2017,St Monica's Primary School,Non Gov,Year 6,72
15 February 2017,St Monica's Primary School,Non Gov,Year 5,65
15 February 2017,St Monica's Primary School,Non Gov,Year 1,58
15 February 2017,St Monica's Primary School,Non Gov,Kindergarten,66
15 February 2017,St Monica's Primary School,Non Gov,Year 2,65
15 February 2017,St Monica's Primary School,Non Gov,Year 3,74
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Year 6,31
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Year 4,49
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Year 5,45
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Preschool,51
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Year 1,51
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Kindergarten,55
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Year 3,51
15 February 2017,St Thomas Aquinas Primary School,Non Gov,Year 2,52
15 February 2017,St Thomas More's Primary School,Non Gov,Year 5,28
15 February 2017,St Thomas More's Primary School,Non Gov,Year 6,16
15 February 2017,St Thomas More's Primary School,Non Gov,Year 4,22
15 February 2017,St Thomas More's Primary School,Non Gov,Year 1,21
15 February 2017,St Thomas More's Primary School,Non Gov,Kindergarten,21
15 February 2017,St Thomas More's Primary School,Non Gov,Year 2,29
15 February 2017,St Thomas More's Primary School,Non Gov,Year 3,14
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Year 4,34
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Year 5,42
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Year 6,31
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Year 1,42
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Kindergarten,40
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Year 3,49
15 February 2017,St Thomas The Apostle Primary School,Non Gov,Year 2,49
15 February 2017,St Vincent's Primary School,Non Gov,Year 4,28
15 February 2017,St Vincent's Primary School,Non Gov,Year 5,42
15 February 2017,St Vincent's Primary School,Non Gov,Year 6,22
15 February 2017,St Vincent's Primary School,Non Gov,Kindergarten,26
15 February 2017,St Vincent's Primary School,Non Gov,Year 1,19
15 February 2017,St Vincent's Primary School,Non Gov,Year 3,23
15 February 2017,St Vincent's Primary School,Non Gov,Year 2,30
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Year 5,36
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Year 4,33
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Year 6,34
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Year 1,39
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Kindergarten,36
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Year 2,45
15 February 2017,Sts Peter & Paul Primary School,Non Gov,Year 3,37
15 February 2017,Taqwa School,Non Gov,Year 4,13
15 February 2017,Taqwa School,Non Gov,Year 1,16
15 February 2017,Taqwa School,Non Gov,Kindergarten,17
15 February 2017,Taqwa School,Non Gov,Year 3,4
15 February 2017,Taqwa School,Non Gov,Year 2,16
15 February 2017,Taylor Primary School,Gov,Year 4,32
15 February 2017,Taylor Primary School,Gov,Year 6,31
15 February 2017,Taylor Primary School,Gov,Year 5,20
15 February 2017,Taylor Primary School,Gov,Year 1,50
15 February 2017,Taylor Primary School,Gov,Preschool,64
15 February 2017,Taylor Primary School,Gov,Kindergarten,57
15 February 2017,Taylor Primary School,Gov,Year 2,40
15 February 2017,Taylor Primary School,Gov,Year 3,31
15 February 2017,Telopea Park School,Gov,Year 6,70
15 February 2017,Telopea Park School,Gov,Year 7,223
15 February 2017,Telopea Park School,Gov,Year 8,215
15 February 2017,Telopea Park School,Gov,Year 5,71
15 February 2017,Telopea Park School,Gov,Year 4,74
15 February 2017,Telopea Park School,Gov,Year 9,204
15 February 2017,Telopea Park School,Gov,Year 1,88
15 February 2017,Telopea Park School,Gov,Kindergarten,87
15 February 2017,Telopea Park School,Gov,Year 10,214
15 February 2017,Telopea Park School,Gov,Year 2,90
15 February 2017,Telopea Park School,Gov,Year 3,80
15 February 2017,Theodore Primary School,Gov,Year 6,34
15 February 2017,Theodore Primary School,Gov,Year 5,45
15 February 2017,Theodore Primary School,Gov,Year 4,44
15 February 2017,Theodore Primary School,Gov,Preschool,67
15 February 2017,Theodore Primary School,Gov,Kindergarten,48
15 February 2017,Theodore Primary School,Gov,Year 1,53
15 February 2017,Theodore Primary School,Gov,Year 2,50
15 February 2017,Theodore Primary School,Gov,Year 3,45
15 February 2017,Torrens Primary School,Gov,Year 4,65
15 February 2017,Torrens Primary School,Gov,Year 6,62
15 February 2017,Torrens Primary School,Gov,Year 5,59
15 February 2017,Torrens Primary School,Gov,Year 1,66
15 February 2017,Torrens Primary School,Gov,Preschool,64
15 February 2017,Torrens Primary School,Gov,Kindergarten,51
15 February 2017,Torrens Primary School,Gov,Year 2,75
15 February 2017,Torrens Primary School,Gov,Year 3,59
15 February 2017,Trinity Christian School,Non Gov,Year 8,104
15 February 2017,Trinity Christian School,Non Gov,Year 7,108
15 February 2017,Trinity Christian School,Non Gov,Year 6,81
15 February 2017,Trinity Christian School,Non Gov,Year 5,81
15 February 2017,Trinity Christian School,Non Gov,Year 4,75
15 February 2017,Trinity Christian School,Non Gov,Year 9,100
15 February 2017,Trinity Christian School,Non Gov,Kindergarten,68
15 February 2017,Trinity Christian School,Non Gov,Preschool,50
15 February 2017,Trinity Christian School,Non Gov,Year 1,59
15 February 2017,Trinity Christian School,Non Gov,Year 11,80
15 February 2017,Trinity Christian School,Non Gov,Year 12,86
15 February 2017,Trinity Christian School,Non Gov,Year 10,94
15 February 2017,Trinity Christian School,Non Gov,Year 3,74
15 February 2017,Trinity Christian School,Non Gov,Year 2,80
15 February 2017,Turner School,Gov,Year 5,69
15 February 2017,Turner School,Gov,Year 4,83
15 February 2017,Turner School,Gov,Year 6,78
15 February 2017,Turner School,Gov,Year 1,57
15 February 2017,Turner School,Gov,Preschool,51
15 February 2017,Turner School,Gov,Kindergarten,66
15 February 2017,Turner School,Gov,Year 2,74
15 February 2017,Turner School,Gov,Year 3,76
15 February 2017,University of Canberra High School Kaleen,Gov,Year 8,68
15 February 2017,University of Canberra High School Kaleen,Gov,Year 7,64
15 February 2017,University of Canberra High School Kaleen,Gov,Year 9,86
15 February 2017,University of Canberra High School Kaleen,Gov,Year 10,54
15 February 2017,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Mature,1
15 February 2017,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 12,324
15 February 2017,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 11,343
15 February 2017,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 10,12
15 February 2017,Wanniassa Hills Primary School,Gov,Year 6,55
15 February 2017,Wanniassa Hills Primary School,Gov,Year 5,41
15 February 2017,Wanniassa Hills Primary School,Gov,Year 4,49
15 February 2017,Wanniassa Hills Primary School,Gov,Preschool,66
15 February 2017,Wanniassa Hills Primary School,Gov,Kindergarten,59
15 February 2017,Wanniassa Hills Primary School,Gov,Year 1,73
15 February 2017,Wanniassa Hills Primary School,Gov,Year 2,49
15 February 2017,Wanniassa Hills Primary School,Gov,Year 3,46
15 February 2017,Wanniassa School,Gov,Year 6,32
15 February 2017,Wanniassa School,Gov,Year 8,52
15 February 2017,Wanniassa School,Gov,Year 7,43
15 February 2017,Wanniassa School,Gov,Year 5,32
15 February 2017,Wanniassa School,Gov,Year 4,31
15 February 2017,Wanniassa School,Gov,Year 9,56
15 February 2017,Wanniassa School,Gov,Preschool,44
15 February 2017,Wanniassa School,Gov,Year 1,29
15 February 2017,Wanniassa School,Gov,Kindergarten,43
15 February 2017,Wanniassa School,Gov,Year 2,32
15 February 2017,Wanniassa School,Gov,Year 3,34
15 February 2017,Wanniassa School,Gov,Year 10,24
15 February 2017,Weetangera Primary School,Gov,Year 5,66
15 February 2017,Weetangera Primary School,Gov,Year 6,59
15 February 2017,Weetangera Primary School,Gov,Year 4,59
15 February 2017,Weetangera Primary School,Gov,Preschool,51
15 February 2017,Weetangera Primary School,Gov,Kindergarten,51
15 February 2017,Weetangera Primary School,Gov,Year 1,58
15 February 2017,Weetangera Primary School,Gov,Year 3,63
15 February 2017,Weetangera Primary School,Gov,Year 2,45
15 February 2017,"Woden School, The",Gov,Year 7,12
15 February 2017,"Woden School, The",Gov,Year 8,21
15 February 2017,"Woden School, The",Gov,Year 9,14
15 February 2017,"Woden School, The",Gov,Year 10,23
15 February 2017,"Woden School, The",Gov,Year 12,13
15 February 2017,"Woden School, The",Gov,Year 11,9
15 February 2017,Yarralumla Primary School,Gov,Year 4,41
15 February 2017,Yarralumla Primary School,Gov,Year 6,29
15 February 2017,Yarralumla Primary School,Gov,Year 5,34
15 February 2017,Yarralumla Primary School,Gov,Kindergarten,71
15 February 2017,Yarralumla Primary School,Gov,Year 1,45
15 February 2017,Yarralumla Primary School,Gov,Preschool,74
15 February 2017,Yarralumla Primary School,Gov,Year 3,49
15 February 2017,Yarralumla Primary School,Gov,Year 2,67
05 August 2016,Ainslie School,Gov,Year 5,46
05 August 2016,Ainslie School,Gov,Year 6,64
05 August 2016,Ainslie School,Gov,Year 4,56
05 August 2016,Ainslie School,Gov,Preschool,41
05 August 2016,Ainslie School,Gov,Kindergarten,38
05 August 2016,Ainslie School,Gov,Year 1,51
05 August 2016,Ainslie School,Gov,Year 3,62
05 August 2016,Ainslie School,Gov,Year 2,41
05 August 2016,Alfred Deakin High School,Gov,Year 8,213
05 August 2016,Alfred Deakin High School,Gov,Year 7,209
05 August 2016,Alfred Deakin High School,Gov,Year 9,206
05 August 2016,Alfred Deakin High School,Gov,Year 10,213
05 August 2016,Amaroo School,Gov,Year 6,149
05 August 2016,Amaroo School,Gov,Year 7,184
05 August 2016,Amaroo School,Gov,Year 8,163
05 August 2016,Amaroo School,Gov,Year 5,125
05 August 2016,Amaroo School,Gov,Year 4,151
05 August 2016,Amaroo School,Gov,Year 9,152
05 August 2016,Amaroo School,Gov,Preschool,132
05 August 2016,Amaroo School,Gov,Year 1,115
05 August 2016,Amaroo School,Gov,Kindergarten,127
05 August 2016,Amaroo School,Gov,Year 10,133
05 August 2016,Amaroo School,Gov,Year 3,147
05 August 2016,Amaroo School,Gov,Year 2,122
05 August 2016,Aranda Primary School,Gov,Year 6,67
05 August 2016,Aranda Primary School,Gov,Year 4,83
05 August 2016,Aranda Primary School,Gov,Year 5,57
05 August 2016,Aranda Primary School,Gov,Year 1,89
05 August 2016,Aranda Primary School,Gov,Preschool,86
05 August 2016,Aranda Primary School,Gov,Kindergarten,86
05 August 2016,Aranda Primary School,Gov,Year 2,89
05 August 2016,Aranda Primary School,Gov,Year 3,69
05 August 2016,Arawang Primary School,Gov,Year 5,57
05 August 2016,Arawang Primary School,Gov,Year 6,55
05 August 2016,Arawang Primary School,Gov,Year 4,47
05 August 2016,Arawang Primary School,Gov,Year 1,68
05 August 2016,Arawang Primary School,Gov,Preschool,85
05 August 2016,Arawang Primary School,Gov,Kindergarten,69
05 August 2016,Arawang Primary School,Gov,Year 3,65
05 August 2016,Arawang Primary School,Gov,Year 2,68
05 August 2016,Belconnen High School,Gov,Year 8,95
05 August 2016,Belconnen High School,Gov,Year 7,98
05 August 2016,Belconnen High School,Gov,Year 9,97
05 August 2016,Belconnen High School,Gov,Year 10,82
05 August 2016,Black Mountain School,Gov,Year 8,12
05 August 2016,Black Mountain School,Gov,Year 7,13
05 August 2016,Black Mountain School,Gov,Year 9,15
05 August 2016,Black Mountain School,Gov,Year 11,20
05 August 2016,Black Mountain School,Gov,Year 12,18
05 August 2016,Black Mountain School,Gov,Year 10,18
05 August 2016,Bonython Primary School,Gov,Year 5,31
05 August 2016,Bonython Primary School,Gov,Year 4,37
05 August 2016,Bonython Primary School,Gov,Year 6,32
05 August 2016,Bonython Primary School,Gov,Kindergarten,46
05 August 2016,Bonython Primary School,Gov,Preschool,33
05 August 2016,Bonython Primary School,Gov,Year 1,49
05 August 2016,Bonython Primary School,Gov,Year 3,42
05 August 2016,Bonython Primary School,Gov,Year 2,35
05 August 2016,Calwell High School,Gov,Year 8,84
05 August 2016,Calwell High School,Gov,Year 7,76
05 August 2016,Calwell High School,Gov,Year 9,91
05 August 2016,Calwell High School,Gov,Year 10,89
05 August 2016,Calwell Primary School,Gov,Year 4,40
05 August 2016,Calwell Primary School,Gov,Year 6,34
05 August 2016,Calwell Primary School,Gov,Year 5,21
05 August 2016,Calwell Primary School,Gov,Kindergarten,36
05 August 2016,Calwell Primary School,Gov,Year 1,32
05 August 2016,Calwell Primary School,Gov,Preschool,59
05 August 2016,Calwell Primary School,Gov,Year 2,36
05 August 2016,Calwell Primary School,Gov,Year 3,34
05 August 2016,Campbell High School,Gov,Year 8,149
05 August 2016,Campbell High School,Gov,Year 7,198
05 August 2016,Campbell High School,Gov,Year 9,184
05 August 2016,Campbell High School,Gov,Year 10,186
05 August 2016,Campbell Primary School,Gov,Year 4,36
05 August 2016,Campbell Primary School,Gov,Year 5,41
05 August 2016,Campbell Primary School,Gov,Year 6,23
05 August 2016,Campbell Primary School,Gov,Kindergarten,59
05 August 2016,Campbell Primary School,Gov,Year 1,40
05 August 2016,Campbell Primary School,Gov,Preschool,70
